,Hardware features - DS8000 disk drives,,,,,,,
,MT,Model,Feature,Feature Description,Drives per Feature,CoD Drive,Capacity (GB),Speed (RPM)
,2422.0,,2216.0,146 GB 15K Drive Set,16.0,FALSE,146.0,15000.0
,2422.0,,2217.0,146 GB 15K CoD Drive Set,16.0,TRUE,146.0,15000.0
,2422.0,,2226.0,146 GB 15K Drive Set A,16.0,FALSE,146.0,15000.0
,2422.0,,2227.0,146 GB 15K CoD Drive Set A,16.0,TRUE,146.0,15000.0
,2422.0,,2236.0,146 GB 15K Drive Set B,16.0,FALSE,146.0,15000.0
,2422.0,,2237.0,146 GB 15K CoD Drive Set B,16.0,TRUE,146.0,15000.0
,2422.0,,2316.0,300 GB 10K Drive Set,16.0,FALSE,300.0,10000.0
,2422.0,,2317.0,300 GB 10K CoD Drive Set,16.0,TRUE,300.0,10000.0
,2422.0,,2326.0,300 GB 10K Drive Set A,16.0,FALSE,300.0,10000.0
,2422.0,,2327.0,300 GB 10K CoD Drive Set A,16.0,TRUE,300.0,10000.0
,2422.0,,2336.0,300 GB 10K Drive Set B,16.0,FALSE,300.0,10000.0
,2422.0,,2337.0,300 GB 10K CoD Drive Set B,16.0,TRUE,300.0,10000.0
,2422.0,,2416.0,300 GB 15K Drive Set,16.0,FALSE,300.0,15000.0
,2422.0,,2417.0,300 GB 15K CoD Drive Set,16.0,TRUE,300.0,15000.0
,2422.0,,2426.0,300 GB 15K Drive Set A,16.0,FALSE,300.0,15000.0
,2422.0,,2427.0,300 GB 15K CoD Drive Set A,16.0,TRUE,300.0,15000.0
,2422.0,,2436.0,300 GB 15K Drive Set B,16.0,FALSE,300.0,15000.0
,2422.0,,2437.0,300 GB 15K CoD Drive Set B,16.0,TRUE,300.0,15000.0
,2422.0,,2516.0,500 GB 7.2K FATA Drive Set,16.0,FALSE,500.0,7200.0
,2422.0,,2517.0,500 GB 7.2K FATA CoD Drive Set,16.0,TRUE,500.0,7200.0
,2422.0,,2526.0,500 GB 7.2K FATA Drive Set A,16.0,FALSE,500.0,7200.0
,2422.0,,2527.0,500 GB 7.2K FATA CoD Drive Set A,16.0,TRUE,500.0,7200.0
,2422.0,,2536.0,500 GB 7.2K FATA Drive Set B,16.0,FALSE,500.0,7200.0
,2422.0,,2537.0,500 GB 7.2K FATA CoD Drive Set B,16.0,TRUE,500.0,7200.0
,2422.0,,2608.0,450 GB 10K SAS Drive Set,16.0,FALSE,450.0,10000.0
,2422.0,,2616.0,450 GB 15K Drive Set,16.0,FALSE,450.0,15000.0
,2422.0,,2617.0,450 GB 15K CoD Drive Set,16.0,TRUE,450.0,15000.0
,2422.0,,2626.0,450 GB 15K Drive Set A,16.0,FALSE,450.0,15000.0
,2422.0,,2627.0,450 GB 15K CoD Drive Set A,16.0,TRUE,450.0,15000.0
,2422.0,,2636.0,450 GB 15K Drive Set B,16.0,FALSE,450.0,15000.0
,2422.0,,2637.0,450 GB 15K CoD Drive Set B,16.0,TRUE,450.0,15000.0
,2422.0,,2708.0,600 GB 10K SAS Drive Set,16.0,FALSE,600.0,10000.0
,2422.0,,2716.0,600 GB 15K Drive Set,16.0,FALSE,600.0,15000.0
,2422.0,,2717.0,600 GB 15K CoD Drive Set,16.0,TRUE,600.0,15000.0
,2422.0,,2816.0,1 TB 7.2K SATA Drive Set,16.0,FALSE,1000.0,7200.0
,2422.0,,2817.0,1 TB 7.2K SATA CoD Drive Set,16.0,TRUE,1000.0,7200.0
,2422.0,,2826.0,1 TB 7.2K SATA Drive Set A,16.0,FALSE,1000.0,7200.0
,2422.0,,2827.0,1 TB 7.2K SATA CoD Drive Set A,16.0,TRUE,1000.0,7200.0
,2422.0,,2836.0,1 TB 7.2K SATA Drive Set B,16.0,FALSE,1000.0,7200.0
