,Functions - License scope options,,,
,HW MT,HW Model,Function,License Scope
,2423.0,931.0,30.0,2.0
,2423.0,931.0,31.0,2.0
,2423.0,931.0,40.0,1.0
,2423.0,931.0,51.0,3.0
,2424.0,931.0,10.0,1.0
,2424.0,931.0,20.0,2.0
,2424.0,931.0,21.0,2.0
,2424.0,931.0,23.0,1.0
,2424.0,931.0,23.0,2.0
,2424.0,931.0,23.0,3.0
,2424.0,931.0,24.0,1.0
,2424.0,931.0,24.0,2.0
,2424.0,931.0,24.0,3.0
,2424.0,931.0,25.0,1.0
,2424.0,931.0,25.0,2.0
,2424.0,931.0,25.0,3.0
,2424.0,931.0,26.0,1.0
,2424.0,931.0,26.0,2.0
,2424.0,931.0,26.0,3.0
,2424.0,931.0,27.0,1.0
,2424.0,931.0,27.0,2.0
,2424.0,931.0,27.0,3.0
,2424.0,931.0,28.0,2.0
,2424.0,931.0,30.0,2.0
,2424.0,931.0,31.0,2.0
,2424.0,931.0,40.0,1.0
,2424.0,931.0,51.0,3.0
,2107.0,932.0,10.0,1.0
,2107.0,932.0,20.0,2.0
,2107.0,932.0,21.0,2.0
,2107.0,932.0,23.0,1.0
,2107.0,932.0,23.0,2.0
,2107.0,932.0,23.0,3.0
,2107.0,932.0,24.0,1.0
,2107.0,932.0,24.0,2.0
,2107.0,932.0,24.0,3.0
,2107.0,932.0,25.0,1.0
,2107.0,932.0,25.0,2.0
,2107.0,932.0,25.0,3.0
,2107.0,932.0,26.0,1.0
,2107.0,932.0,26.0,2.0
,2107.0,932.0,26.0,3.0
,2107.0,932.0,27.0,1.0
,2107.0,932.0,27.0,2.0
,2107.0,932.0,27.0,3.0
,2107.0,932.0,28.0,2.0
,2107.0,932.0,30.0,2.0
,2107.0,932.0,31.0,2.0
,2107.0,932.0,40.0,1.0
,2107.0,932.0,51.0,3.0
,2421.0,932.0,10.0,1.0
,2421.0,932.0,20.0,2.0
,2421.0,932.0,21.0,2.0
,2421.0,932.0,23.0,1.0
,2421.0,932.0,23.0,2.0
,2421.0,932.0,23.0,3.0
,2421.0,932.0,24.0,1.0
,2421.0,932.0,24.0,2.0
,2421.0,932.0,24.0,3.0
,2421.0,932.0,25.0,1.0
,2421.0,932.0,25.0,2.0
,2421.0,932.0,25.0,3.0
,2421.0,932.0,26.0,1.0
,2421.0,932.0,26.0,2.0
,2421.0,932.0,26.0,3.0
,2421.0,932.0,27.0,1.0
,2421.0,932.0,27.0,2.0
,2421.0,932.0,27.0,3.0
,2421.0,932.0,28.0,2.0
,2421.0,932.0,30.0,2.0
,2421.0,932.0,31.0,2.0
,2421.0,932.0,40.0,1.0
,2421.0,932.0,51.0,3.0
,2422.0,932.0,10.0,1.0
,2422.0,932.0,20.0,2.0
,2422.0,932.0,21.0,2.0
,2422.0,932.0,23.0,1.0
,2422.0,932.0,23.0,2.0
,2422.0,932.0,23.0,3.0
,2422.0,932.0,24.0,1.0
,2422.0,932.0,24.0,2.0
,2422.0,932.0,24.0,3.0
,2422.0,932.0,25.0,1.0
,2422.0,932.0,25.0,2.0
,2422.0,932.0,25.0,3.0
,2422.0,932.0,26.0,1.0
,2422.0,932.0,26.0,2.0
,2422.0,932.0,26.0,3.0
,2422.0,932.0,27.0,1.0
,2422.0,932.0,27.0,2.0
,2422.0,932.0,27.0,3.0
,2422.0,932.0,28.0,2.0
,2422.0,932.0,30.0,2.0
,2422.0,932.0,31.0,2.0
,2422.0,932.0,40.0,1.0
,2422.0,932.0,51.0,3.0
,2423.0,932.0,10.0,1.0
,2423.0,932.0,20.0,2.0
,2423.0,932.0,21.0,2.0
,2423.0,932.0,23.0,1.0
,2423.0,932.0,23.0,2.0
,2423.0,932.0,23.0,3.0
,2423.0,932.0,24.0,1.0
,2423.0,932.0,24.0,2.0
,2423.0,932.0,24.0,3.0
,2423.0,932.0,25.0,1.0
,2423.0,932.0,25.0,2.0
,2423.0,932.0,25.0,3.0
,2423.0,932.0,26.0,1.0
,2423.0,932.0,26.0,2.0
,2423.0,932.0,26.0,3.0
,2423.0,932.0,27.0,1.0
,2423.0,932.0,27.0,2.0
,2423.0,932.0,27.0,3.0
,2423.0,932.0,28.0,2.0
,2423.0,932.0,30.0,2.0
,2423.0,932.0,31.0,2.0
,2423.0,932.0,40.0,1.0
,2423.0,932.0,51.0,3.0
,2424.0,932.0,10.0,1.0
,2424.0,932.0,20.0,2.0
,2424.0,932.0,21.0,2.0
,2424.0,932.0,23.0,1.0
,2424.0,932.0,23.0,2.0
,2424.0,932.0,23.0,3.0
,2424.0,932.0,24.0,1.0
,2424.0,932.0,24.0,2.0
,2424.0,932.0,24.0,3.0
,2424.0,932.0,25.0,1.0
,2424.0,932.0,25.0,2.0
,2424.0,932.0,25.0,3.0
,2424.0,932.0,26.0,1.0
,2424.0,932.0,26.0,2.0
,2424.0,932.0,26.0,3.0
,2424.0,932.0,27.0,1.0
,2424.0,932.0,27.0,2.0
,2424.0,932.0,27.0,3.0
,2424.0,932.0,28.0,2.0
,2424.0,932.0,30.0,2.0
,2424.0,932.0,31.0,2.0
,2424.0,932.0,40.0,1.0
,2424.0,932.0,51.0,3.0
,2421.0,941.0,10.0,1.0
,2421.0,941.0,20.0,2.0
,2421.0,941.0,21.0,2.0
,2421.0,941.0,23.0,1.0
,2421.0,941.0,23.0,2.0
,2421.0,941.0,23.0,3.0
,2421.0,941.0,24.0,1.0
,2421.0,941.0,24.0,2.0
,2421.0,941.0,24.0,3.0
,2421.0,941.0,25.0,1.0
,2421.0,941.0,25.0,2.0
,2421.0,941.0,25.0,3.0
,2421.0,941.0,26.0,1.0
,2421.0,941.0,26.0,2.0
,2421.0,941.0,26.0,3.0
,2421.0,941.0,27.0,1.0
,2421.0,941.0,27.0,2.0
,2421.0,941.0,27.0,3.0
,2421.0,941.0,28.0,2.0
,2421.0,941.0,30.0,2.0
,2421.0,941.0,31.0,2.0
,2421.0,941.0,32.0,1.0
,2421.0,941.0,40.0,1.0
,2421.0,941.0,51.0,3.0
,2421.0,941.0,53.0,3.0
,2421.0,941.0,54.0,3.0
,2422.0,941.0,10.0,1.0
,2422.0,941.0,20.0,2.0
,2422.0,941.0,21.0,2.0
,2422.0,941.0,23.0,1.0
,2422.0,941.0,23.0,2.0
,2422.0,941.0,23.0,3.0
,2422.0,941.0,24.0,1.0
,2422.0,941.0,24.0,2.0
,2422.0,941.0,24.0,3.0
,2422.0,941.0,25.0,1.0
,2422.0,941.0,25.0,2.0
,2422.0,941.0,25.0,3.0
,2422.0,941.0,26.0,1.0
,2422.0,941.0,26.0,2.0
,2422.0,941.0,26.0,3.0
,2422.0,941.0,27.0,1.0
,2422.0,941.0,27.0,2.0
,2422.0,941.0,27.0,3.0
,2422.0,941.0,28.0,2.0
,2422.0,941.0,30.0,2.0
,2422.0,941.0,31.0,2.0
,2422.0,941.0,32.0,1.0
,2422.0,941.0,40.0,1.0
,2422.0,941.0,51.0,3.0
,2422.0,941.0,53.0,3.0
,2422.0,941.0,54.0,3.0
,2423.0,941.0,10.0,1.0
,2423.0,941.0,20.0,2.0
,2423.0,941.0,21.0,2.0
,2423.0,941.0,23.0,1.0
,2423.0,941.0,23.0,2.0
,2423.0,941.0,23.0,3.0
,2423.0,941.0,24.0,1.0
,2423.0,941.0,24.0,2.0
,2423.0,941.0,24.0,3.0
,2423.0,941.0,25.0,1.0
,2423.0,941.0,25.0,2.0
,2423.0,941.0,25.0,3.0
,2423.0,941.0,26.0,1.0
,2423.0,941.0,26.0,2.0
,2423.0,941.0,26.0,3.0
,2423.0,941.0,27.0,1.0
,2423.0,941.0,27.0,2.0
,2423.0,941.0,27.0,3.0
,2423.0,941.0,28.0,2.0
,2423.0,941.0,30.0,2.0
,2423.0,941.0,31.0,2.0
,2423.0,941.0,32.0,1.0
,2423.0,941.0,40.0,1.0
,2423.0,941.0,51.0,3.0
,2423.0,941.0,53.0,3.0
,2423.0,941.0,54.0,3.0
,2424.0,941.0,10.0,1.0
,2424.0,941.0,20.0,2.0
,2424.0,941.0,21.0,2.0
,2424.0,941.0,23.0,1.0
,2424.0,941.0,23.0,2.0
,2424.0,941.0,23.0,3.0
,2424.0,941.0,24.0,1.0
,2424.0,941.0,24.0,2.0
,2424.0,941.0,24.0,3.0
,2424.0,941.0,25.0,1.0
,2424.0,941.0,25.0,2.0
,2424.0,941.0,25.0,3.0
,2424.0,941.0,26.0,1.0
,2424.0,941.0,26.0,2.0
,2424.0,941.0,26.0,3.0
,2424.0,941.0,27.0,1.0
,2424.0,941.0,27.0,2.0
,2424.0,941.0,27.0,3.0
,2424.0,941.0,28.0,2.0
,2424.0,941.0,30.0,2.0
,2424.0,941.0,31.0,2.0
,2424.0,941.0,32.0,1.0
,2424.0,941.0,40.0,1.0
,2424.0,941.0,51.0,3.0
,2424.0,941.0,53.0,3.0
,2424.0,941.0,54.0,3.0
,2421.0,951.0,10.0,1.0
,2421.0,951.0,20.0,2.0
,2421.0,951.0,21.0,2.0
,2421.0,951.0,23.0,1.0
,2421.0,951.0,23.0,2.0
,2421.0,951.0,23.0,3.0
,2421.0,951.0,24.0,1.0
,2421.0,951.0,24.0,2.0
,2421.0,951.0,24.0,3.0
,2421.0,951.0,25.0,1.0
,2421.0,951.0,25.0,2.0
,2421.0,951.0,25.0,3.0
,2421.0,951.0,26.0,1.0
,2421.0,951.0,26.0,2.0
,2421.0,951.0,26.0,3.0
,2421.0,951.0,27.0,1.0
,2421.0,951.0,27.0,2.0
,2421.0,951.0,27.0,3.0
,2421.0,951.0,28.0,2.0
,2421.0,951.0,30.0,2.0
,2421.0,951.0,31.0,2.0
,2421.0,951.0,32.0,1.0
,2421.0,951.0,40.0,1.0
,2421.0,951.0,51.0,3.0
,2421.0,951.0,53.0,3.0
,2421.0,951.0,54.0,3.0
,2422.0,951.0,10.0,1.0
,2422.0,951.0,20.0,2.0
,2422.0,951.0,21.0,2.0
,2422.0,951.0,23.0,1.0
,2422.0,951.0,23.0,2.0
,2422.0,951.0,23.0,3.0
,2422.0,951.0,24.0,1.0
,2422.0,951.0,24.0,2.0
,2422.0,951.0,24.0,3.0
,2422.0,951.0,25.0,1.0
,2422.0,951.0,25.0,2.0
,2422.0,951.0,25.0,3.0
,2422.0,951.0,26.0,1.0
,2422.0,951.0,26.0,2.0
,2422.0,951.0,26.0,3.0
,2422.0,951.0,27.0,1.0
,2422.0,951.0,27.0,2.0
,2422.0,951.0,27.0,3.0
,2422.0,951.0,28.0,2.0
,2422.0,951.0,30.0,2.0
,2422.0,951.0,31.0,2.0
,2422.0,951.0,32.0,1.0
,2422.0,951.0,40.0,1.0
,2422.0,951.0,51.0,3.0
,2422.0,951.0,53.0,3.0
,2422.0,951.0,54.0,3.0
,2423.0,951.0,10.0,1.0
,2423.0,951.0,20.0,2.0
,2423.0,951.0,21.0,2.0
,2423.0,951.0,23.0,1.0
,2423.0,951.0,23.0,2.0
,2423.0,951.0,23.0,3.0
,2423.0,951.0,24.0,1.0
,2423.0,951.0,24.0,2.0
,2423.0,951.0,24.0,3.0
,2423.0,951.0,25.0,1.0
,2423.0,951.0,25.0,2.0
,2423.0,951.0,25.0,3.0
,2423.0,951.0,26.0,1.0
,2423.0,951.0,26.0,2.0
,2423.0,951.0,26.0,3.0
,2423.0,951.0,27.0,1.0
,2423.0,951.0,27.0,2.0
,2423.0,951.0,27.0,3.0
,2423.0,951.0,28.0,2.0
,2423.0,951.0,30.0,2.0
,2423.0,951.0,31.0,2.0
,2423.0,951.0,32.0,1.0
,2423.0,951.0,40.0,1.0
,2423.0,951.0,51.0,3.0
,2423.0,951.0,53.0,3.0
,2423.0,951.0,54.0,3.0
,2424.0,951.0,10.0,1.0
,2424.0,951.0,20.0,2.0
,2424.0,951.0,21.0,2.0
,2424.0,951.0,23.0,1.0
,2424.0,951.0,23.0,2.0
,2424.0,951.0,23.0,3.0
,2424.0,951.0,24.0,1.0
,2424.0,951.0,24.0,2.0
,2424.0,951.0,24.0,3.0
,2424.0,951.0,25.0,1.0
,2424.0,951.0,25.0,2.0
,2424.0,951.0,25.0,3.0
,2424.0,951.0,26.0,1.0
,2424.0,951.0,26.0,2.0
,2424.0,951.0,26.0,3.0
,2424.0,951.0,27.0,1.0
,2424.0,951.0,27.0,2.0
,2424.0,951.0,27.0,3.0
,2424.0,951.0,28.0,2.0
,2424.0,951.0,30.0,2.0
,2424.0,951.0,31.0,2.0
,2424.0,951.0,32.0,1.0
,2424.0,951.0,40.0,1.0
,2424.0,951.0,51.0,3.0
,2424.0,951.0,53.0,3.0
,2424.0,951.0,54.0,3.0
,2421.0,961.0,10.0,1.0
,2421.0,961.0,20.0,2.0
,2421.0,961.0,21.0,2.0
,2421.0,961.0,23.0,1.0
,2421.0,961.0,23.0,2.0
,2421.0,961.0,23.0,3.0
,2421.0,961.0,24.0,1.0
,2421.0,961.0,24.0,2.0
,2421.0,961.0,24.0,3.0
,2421.0,961.0,25.0,1.0
,2421.0,961.0,25.0,2.0
,2421.0,961.0,25.0,3.0
,2421.0,961.0,26.0,1.0
,2421.0,961.0,26.0,2.0
,2421.0,961.0,26.0,3.0
,2421.0,961.0,27.0,1.0
,2421.0,961.0,27.0,2.0
,2421.0,961.0,27.0,3.0
,2421.0,961.0,28.0,2.0
,2421.0,961.0,30.0,2.0
,2421.0,961.0,31.0,2.0
,2421.0,961.0,32.0,1.0
,2421.0,961.0,40.0,1.0
,2421.0,961.0,51.0,3.0
,2421.0,961.0,52.0,3.0
,2421.0,961.0,53.0,3.0
,2421.0,961.0,54.0,3.0
,2421.0,961.0,55.0,3.0
,2422.0,961.0,10.0,1.0
,2422.0,961.0,20.0,2.0
,2422.0,961.0,21.0,2.0
,2422.0,961.0,23.0,1.0
,2422.0,961.0,23.0,2.0
,2422.0,961.0,23.0,3.0
,2422.0,961.0,24.0,1.0
,2422.0,961.0,24.0,2.0
,2422.0,961.0,24.0,3.0
,2422.0,961.0,25.0,1.0
,2422.0,961.0,25.0,2.0
,2422.0,961.0,25.0,3.0
,2422.0,961.0,26.0,1.0
,2422.0,961.0,26.0,2.0
,2422.0,961.0,26.0,3.0
,2422.0,961.0,27.0,1.0
,2422.0,961.0,27.0,2.0
,2422.0,961.0,27.0,3.0
,2422.0,961.0,28.0,2.0
,2422.0,961.0,30.0,2.0
,2422.0,961.0,31.0,2.0
,2422.0,961.0,32.0,1.0
,2422.0,961.0,40.0,1.0
,2422.0,961.0,51.0,3.0
,2422.0,961.0,52.0,3.0
,2422.0,961.0,53.0,3.0
,2422.0,961.0,54.0,3.0
,2422.0,961.0,55.0,3.0
,2423.0,961.0,10.0,1.0
,2423.0,961.0,20.0,2.0
,2423.0,961.0,21.0,2.0
,2423.0,961.0,23.0,1.0
,2423.0,961.0,23.0,2.0
,2423.0,961.0,23.0,3.0
,2423.0,961.0,24.0,1.0
,2423.0,961.0,24.0,2.0
,2423.0,961.0,24.0,3.0
,2423.0,961.0,25.0,1.0
,2423.0,961.0,25.0,2.0
,2423.0,961.0,25.0,3.0
,2423.0,961.0,26.0,1.0
,2423.0,961.0,26.0,2.0
,2423.0,961.0,26.0,3.0
,2423.0,961.0,27.0,1.0
,2423.0,961.0,27.0,2.0
,2423.0,961.0,27.0,3.0
,2423.0,961.0,28.0,2.0
,2423.0,961.0,30.0,2.0
,2423.0,961.0,31.0,2.0
,2423.0,961.0,32.0,1.0
,2423.0,961.0,40.0,1.0
,2423.0,961.0,51.0,3.0
,2423.0,961.0,52.0,3.0
,2423.0,961.0,53.0,3.0
,2423.0,961.0,54.0,3.0
,2423.0,961.0,55.0,3.0
,2424.0,961.0,10.0,1.0
,2424.0,961.0,20.0,2.0
,2424.0,961.0,21.0,2.0
,2424.0,961.0,23.0,1.0
,2424.0,961.0,23.0,2.0
,2424.0,961.0,23.0,3.0
,2424.0,961.0,24.0,1.0
,2424.0,961.0,24.0,2.0
,2424.0,961.0,24.0,3.0
,2424.0,961.0,25.0,1.0
,2424.0,961.0,25.0,2.0
,2424.0,961.0,25.0,3.0
,2424.0,961.0,26.0,1.0
,2424.0,961.0,26.0,2.0
,2424.0,961.0,26.0,3.0
,2424.0,961.0,27.0,1.0
,2424.0,961.0,27.0,2.0
,2424.0,961.0,27.0,3.0
,2424.0,961.0,28.0,2.0
,2424.0,961.0,30.0,2.0
,2424.0,961.0,31.0,2.0
,2424.0,961.0,32.0,1.0
,2424.0,961.0,40.0,1.0
,2424.0,961.0,51.0,3.0
,2424.0,961.0,52.0,3.0
,2424.0,961.0,53.0,3.0
,2424.0,961.0,54.0,3.0
,2424.0,961.0,55.0,3.0
,2107.0,9A2,10.0,3.0
,2107.0,9A2,20.0,2.0
,2107.0,9A2,21.0,2.0
,2107.0,9A2,22.0,1.0
,2107.0,9A2,22.0,2.0
,2107.0,9A2,22.0,3.0
,2107.0,9A2,23.0,1.0
,2107.0,9A2,23.0,2.0
,2107.0,9A2,23.0,3.0
,2107.0,9A2,24.0,1.0
,2107.0,9A2,24.0,2.0
,2107.0,9A2,24.0,3.0
,2107.0,9A2,27.0,1.0
,2107.0,9A2,27.0,2.0
,2107.0,9A2,27.0,3.0
,2107.0,9A2,28.0,2.0
,2107.0,9A2,30.0,2.0
,2107.0,9A2,31.0,2.0
,2107.0,9A2,40.0,1.0
,2107.0,9A2,51.0,3.0
,2107.0,9B2,10.0,1.0
,2107.0,9B2,20.0,2.0
,2107.0,9B2,21.0,2.0
,2107.0,9B2,23.0,1.0
,2107.0,9B2,23.0,2.0
,2107.0,9B2,23.0,3.0
,2107.0,9B2,24.0,1.0
,2107.0,9B2,24.0,2.0
,2107.0,9B2,24.0,3.0
,2107.0,9B2,25.0,1.0
,2107.0,9B2,25.0,2.0
,2107.0,9B2,25.0,3.0
,2107.0,9B2,26.0,1.0
,2107.0,9B2,26.0,2.0
,2107.0,9B2,26.0,3.0
,2107.0,9B2,27.0,1.0
,2107.0,9B2,27.0,2.0
,2107.0,9B2,27.0,3.0
,2107.0,9B2,28.0,2.0
,2107.0,9B2,30.0,2.0
,2107.0,9B2,31.0,2.0
,2107.0,9B2,40.0,1.0
,2107.0,9B2,51.0,3.0
,2421.0,9B2,10.0,1.0
,2421.0,9B2,20.0,2.0
,2421.0,9B2,21.0,2.0
,2421.0,9B2,23.0,1.0
,2421.0,9B2,23.0,2.0
,2421.0,9B2,23.0,3.0
,2421.0,9B2,24.0,1.0
,2421.0,9B2,24.0,2.0
,2421.0,9B2,24.0,3.0
,2421.0,9B2,25.0,1.0
,2421.0,9B2,25.0,2.0
,2421.0,9B2,25.0,3.0
,2421.0,9B2,26.0,1.0
,2421.0,9B2,26.0,2.0
,2421.0,9B2,26.0,3.0
,2421.0,9B2,27.0,1.0
,2421.0,9B2,27.0,2.0
,2421.0,9B2,27.0,3.0
,2421.0,9B2,28.0,2.0
,2421.0,9B2,30.0,2.0
,2421.0,9B2,31.0,2.0
,2421.0,9B2,40.0,1.0
,2421.0,9B2,51.0,3.0
,2422.0,9B2,10.0,1.0
,2422.0,9B2,20.0,2.0
,2422.0,9B2,21.0,2.0
,2422.0,9B2,23.0,1.0
,2422.0,9B2,23.0,2.0
,2422.0,9B2,23.0,3.0
,2422.0,9B2,24.0,1.0
,2422.0,9B2,24.0,2.0
,2422.0,9B2,24.0,3.0
,2422.0,9B2,25.0,1.0
,2422.0,9B2,25.0,2.0
,2422.0,9B2,25.0,3.0
,2422.0,9B2,26.0,1.0
,2422.0,9B2,26.0,2.0
,2422.0,9B2,26.0,3.0
,2422.0,9B2,27.0,1.0
,2422.0,9B2,27.0,2.0
,2422.0,9B2,27.0,3.0
,2422.0,9B2,28.0,2.0
,2422.0,9B2,30.0,2.0
,2422.0,9B2,31.0,2.0
,2422.0,9B2,40.0,1.0
,2422.0,9B2,51.0,3.0
,2423.0,9B2,10.0,1.0
,2423.0,9B2,20.0,2.0
,2423.0,9B2,21.0,2.0
,2423.0,9B2,23.0,1.0
,2423.0,9B2,23.0,2.0
,2423.0,9B2,23.0,3.0
,2423.0,9B2,24.0,1.0
,2423.0,9B2,24.0,2.0
,2423.0,9B2,24.0,3.0
,2423.0,9B2,25.0,1.0
,2423.0,9B2,25.0,2.0
,2423.0,9B2,25.0,3.0
,2423.0,9B2,26.0,1.0
,2423.0,9B2,26.0,2.0
,2423.0,9B2,26.0,3.0
,2423.0,9B2,27.0,1.0
,2423.0,9B2,27.0,2.0
,2423.0,9B2,27.0,3.0
,2423.0,9B2,28.0,2.0
,2423.0,9B2,30.0,2.0
,2423.0,9B2,31.0,2.0
,2423.0,9B2,40.0,1.0
,2423.0,9B2,51.0,3.0
,2424.0,9B2,10.0,1.0
,2424.0,9B2,20.0,2.0
,2424.0,9B2,21.0,2.0
,2424.0,9B2,23.0,1.0
,2424.0,9B2,23.0,2.0
,2424.0,9B2,23.0,3.0
,2424.0,9B2,24.0,1.0
,2424.0,9B2,24.0,2.0
,2424.0,9B2,24.0,3.0
,2424.0,9B2,25.0,1.0
,2424.0,9B2,25.0,2.0
,2424.0,9B2,25.0,3.0
,2424.0,9B2,26.0,1.0
,2424.0,9B2,26.0,2.0
,2424.0,9B2,26.0,3.0
,2424.0,9B2,27.0,1.0
,2424.0,9B2,27.0,2.0
,2424.0,9B2,27.0,3.0
,2424.0,9B2,28.0,2.0
,2424.0,9B2,30.0,2.0
,2424.0,9B2,31.0,2.0
,2424.0,9B2,40.0,1.0
,2424.0,9B2,51.0,3.0

,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
